,Unnamed: 0,id,label,tweet
0,0,1274061354148737024,1,"nhl teams can't control the seasonal flu that runs through their dressing rooms every season, and now they think they can control the coronavirus? #nhl #covid19"
1,1,1274654076181999616,1,via @nytimes. global review that’s free to read. trump holds his oklahoma rally today despite a jump in cases there. worry that like 1918 flu #covid19 may resurge in fall.  https://t.co/1dr0jiyrl6
2,2,1219985744758001664,0,"the #ncov2019 #coronavirus is scary but let's put things into perspective. it has caused (thus far) &gt;500 cases &amp; 9 deaths. #influenza, this season alone, in the us: 13 million cases, 6600 deaths. if u didn't get a #flushot, don't be too worried about the #ncov coronavirus #wef20 https://t.co/yyzfyxav7s"
3,3,1275600805920272386,0,"@netz_melb covid19 is a hoax. coronavirus is the truth. the medical association wants to promote the idea that covid19 is real. can give a new name for the seasonal flu, no worries. the tests are meant to be point in time. tell me a time you proactively got tested yourself for a flu virus"
4,4,1273032256135868416,0,"hey jim, no drug needed.
covid19 is no more deadly than the seasonal flu.

https://t.co/vmcz0lcc7o

#fact @jimcramer"
5,5,1273252416826363907,1,"almost unbelievable data manipulation. comparing covid deaths with lockdown in place to, no lock down “flu”years. using a log scale on probability of death chart. moving winter deaths forward to mid summer to make covid look less worse. #coronavirus #covid19 #covid_19 #covid 1/2 https://t.co/ozjwzdsart"
6,6,1275034715741761536,1,"axios: “today marks 103 days since the last mlb, nba, nfl or nhl game — the longest such drought since the fall of 1918, when the world series was held in september amid wwi and the spanish flu.”

#coronavirus 
#covid19 
#nosports  https://t.co/pfhwf7bj81"
7,7,1275685328100171776,1,south africa is in the #flu season and that mean more coughs and sneezes. take simple daily precautions to help prevent the spread of respiratory illnesses like #covid19 and influenza. learn how to protect yourself from #covid19: https://t.co/zr8gxdgfkq https://t.co/d8nlpjhmi3
8,8,1275034706925371392,1,"ruby princess passenger diagnosed with flu days before coronavirus death, inquiry hears https://t.co/vm34ye9yba"
9,9,1220175187209064448,0,"i don't mean to be cold about this, but thousands die from the flu in a year &amp; everyone gets bent out of shape over another virus? it appears that only a small number die from the coronavirus as opposed to those infected. same for the flu.😎 https://t.co/2nwwcupwua"
10,10,1275690479531765760,1,"#kungflu even sounds racist, and its not even accurate seeing how #covid19 is a sars and not a flu!  

this virus has a name that entire world uses and its not racist and describes the virus with scientific detail! a feat the #maga base cant master #coronavirus #covid19"
11,11,1220051429622108160,1,"to put this into context, around one in every 1,000 who develop flu die, giving it a death rate of 0.1%.

“this 2019-ncov’s death rate could be 2%, similar to spanish flu,” professor neil ferguson, from imperial college london, said."
12,12,1275798332699369474,1,"a facebook post shared thousands of times claims the @cdcgov lied about the number of deaths caused by #covid19 by combining the count with pneumonia and influenza fatalities. this is false. #fakenews #coronavirus #usa

https://t.co/j9ww33h8l6"
13,13,1220009767768334336,0,"@msnbc cdc estimates there have been at least 6000 flu deaths so far this season... 

seems like you're trying to scare a bunch of people over basically nothing. i'm sure it couldn't have anything to do with ""china bad!!""

https://t.co/npopiroobw"
14,14,1273144079233224707,0,"coronavirus vaccine trial by imperial college london begins

a miraculous vaccine breaks records!

herpes, flu, cold, aids, so many viruses they cannot create a vaccine for years, but for #covid19 in less than 2 years! all the gullible people say yea!
 https://t.co/jqjwojk544"
15,15,1274791752294191105,1,"remember when these fools said the flu is worst than #coronavirus?
remember when these fools said the summer heat and sun will get rid of
#covid19? 
well those #covidiots are wrong. protect yourself."
16,16,1275069136096227328,1,"ruby princess passenger diagnosed with flu days before coronavirus death, inquiry hears
https://t.co/s2ktxqc5ig"
17,17,1275804608208801799,1,"""we don't want to see a bad flu season and a second wave of #coronavirus at the same time.""

professor martin marshall says a spike in flu and #covid19 cases would ""hit the whole of the nhs.""

more here: https://t.co/e8fumtnafc https://t.co/4uslu1i7rn"
18,18,1273301334322606080,0,there isn’t a coronavirus ‘second wave’ https://t.co/j1gcheyihw via @whitehouse most americans realize the left-wing democrats and their cronies in the media are behind the epidemic over the flu called covid19! they want to keep controlling our lives so they can defeat america
19,19,1275662854176354304,0,@mailonline call this freedom!! it's more like a psychological prison. all this nonsense for a 'virus' that is no more than a strong seasonal flu..😠 #coronavirus #covid19 #newnormal #scamdemic https://t.co/iwfp8ptnfl
20,20,1275480111341395968,0,"so, #covid19 is a “coronavirus.”

did you know these are too?

common cold
common flu
sars
mers

what do you think the chance is of testing positive for covid19 if you’ve had any of these &amp; many others?

#scamdemic"
21,21,1272964677157388289,0,"another republican not taking masks seriously, has coronavirus, as does his wife and child. he also called it ""wuhan flu"" well because evidently being a gop these days means being a bigot to people that have zero to do with covid19 spreading. 

https://t.co/20hsu7wueq"
22,22,1275466739753631745,1,"let's take a look at the #covid19 numbers compared to the #flu

https://t.co/mwb55yecry"
23,23,1275472599548657670,1,“texas children’s hospital confirmed late monday it is admitting adult patients to free up hospital beds across houston as coronavirus cases surge.“ https://t.co/xzrvfwacjg #covid19 is not like the flu. at all. really
24,24,1275593170999484417,0,"@growsomeovaries @nycbumpkin @whitehouse actually ""confirmed absolute"" is strange. when they literally counted no flu deaths. flu kills 35-70k annually in 🇺🇸 hospice patients counted as coronavirus deaths. the #fakenews is called that for good reason. even birx said they were counting all death as covid19. i heard her."
25,25,1274186183489122310,1,"virus was spreading in the west since december, has infected far more thn officially reported. we had a notoriously bad flu season, deaths were most likely covid, those who were sick in jan/feb were probably sick of covid #italy #coronavirus #covid19"
26,26,1275800041014194176,1,"trump's flu klux klan has spread the virus more than china ever did.

#chinesevirus #kungfluvirus #trumpscoronavirusrally #chinese #redhatcult #corruptlicans #coronavirus #covid19 #covidiots https://t.co/0zyyvir204"
27,27,1275830837985017858,1,"breathtaking (in the best sense). nobody should understimate the brutal impact of any #covid19 infection. must read for all the idiots comparing #coronavirus to flu and playing with fatal #herdimmunity. 

@birgitc, all the best to you, stay strong! https://t.co/qywbuggoks"
28,28,1275273568301879297,0,i know of no #asianamericans who were offended when #presidenttrump was noting a few nicknames that were given to the #coronavirus (#covid19). among the list was #kungflu. but the media is relentlessly pounding this story as though he just nuked #china! 😱https://t.co/7lpwfr0ytu
29,29,1275275180282130432,0,"more “seasonal flu” news from college football 🤔

#covid19

https://t.co/qokxcbv7rr"
30,30,1275775468088803328,1,when u have symptoms of #cold #flu #covid19 #coronavirus or other #viruses &amp; #infections properly wearing a surgical #facemask can help protect others from getting sick. it's important that u follow infection prevention precautions when putting the #maskon &amp; taking the #maskoff https://t.co/jpkiojdijy
31,31,1273679206296227841,0,"apparently a new drug has been found that will ""kill covid19"" - does that mean they've found a drug that can kill the flu, too? because, and correct me if i am wrong, but aren't both covid and the flu a virus?

pretty sure you can't kill a virus!

#covid19uk #coronavirus"
32,32,1275025889768677376,1,@darkvader1776 @pluna00 @breaking911 @dcgrandma52 @calicoco3 it’s not the flu . influenza scientific name is orthomyxoviridae. this is a coronavirus.  different altogether. and this one causes sars not a cold #troll #covidiots #covid19
33,33,1274708568248287232,1,"both have effects but is #twexit important today or #coronavirus? its flu say some; others see death in #covid19 &amp; squirm. is drug &amp; #vaccine lacking #covid_19 pandemic a threat to #humanity? should we relax #lockdown or segregate? https://t.co/fzztthiwgg
https://t.co/utw9dljzdh"
34,34,1274214728168910849,0,"@guykawasaki #coronavirus before jan 2020 was known as the ""common cold"" &amp; the ""seasonal flu.""

why is this #coronavirus (aka #covid19) any different?
.
.
.
.
because the #ccp, dr fauci and bill gates says so, and we need a vaccine.
 
#wuhanvirus #ccpvirus https://t.co/zqfgdm0ki1"
35,35,1273117499513622541,1,"while fox news anchors claimed covid19 was less virulent than the flu + a just a plot by liberal hyper-partisan media out to ""get"" trump, fox warned its own employees to stay home❗️to “reduce the staff footprint at our headquarters in new york."" https://t.co/e73ksmirp5"
36,36,1273035147978424320,1,"a flu shot causes your body’s immune system to make antibodies that protect you from influenza. these antibodies are different from the antibodies your body makes to fight an infection caused by the novel coronavirus. #covid19 #basedonscience 
https://t.co/fcdhdnnjq5"
37,37,1275897487832866824,0,@fionamflanagan1 they haven't even isolated a so called covid19 strain from coronavirus. which incidentally causes around 20% of all colds &amp; flu every year. so at least 20% of the population would test positive anyway.
38,38,1275666502541283330,0,"@magamuscleman @maryamhenein this post-licensure efficacy trial recorded a 0.7% death rate in seniors who took the fluzone quad high-dose for seniors. per the cdc, covid19 death rate = 0.26%
so the flu shot is more dangerous than the coronavirus. https://t.co/435thkyupl"
39,39,1275396690921623552,1,"can the flu vaccination stop covid-19? 🤧

no, the flu vaccine will not stop #coronavirus, but receiving your jab at your local #communitypharmacy will help ease the pressure put onto the nhs and save lives.

#protectthenhs #covid19 https://t.co/zfrlwqh1x3"
40,40,1273631244006289414,1,@kamalaharris #covid19 #covid__19 is an opportunistic killer. california is reopening too quickly giving this virus the opportunity it requires to aggressively spread &amp; kill. the spanish flu pandemic of 1918 killed 50 million people. how many people will covid19 kill? https://t.co/htbhixx3o4
42,42,1220006583331180544,0,"here is transcript of telecall press briefing yesterday about #coronovirus #ncov2019 
https://t.co/xcwboun5hz
do remember that this is #flu season. period. it can be deadly enough. use good hand and respiratory measures. https://t.co/alouj0w5ve"
43,43,1275085612903804929,1,"doubt it... given the flare ups in korea, china &amp; germany at the moment... &amp; they are are a few weeks ahead of us! 

come autumn/winter, things will flare up again... then it will be decide if it flu or covid19!

 https://t.co/n2fsiirvlq via https://t.co/i9j64gvjwa"
44,44,1275178158585757698,1,"@johnjharwood @cillizzacnn .john, it's not the *cases* that matter -- it's the hospitalizations. nobody sits around and frets about catching the flu; it's only newsworthy if it sends you to the hospital or to the grave.
#covid19 #coronavirus"
45,45,1275902501380915210,1,@indivisible9nc @cvdeathwatch @walkon82721326 @danforestnc such as @ncgop candidate for governor lt. dan who wanted us all to keep #covid19 in perspective? telling us that coronavirus is no worse than the flu or hiv? #maskup #staystrongnc #standwithroycooper #ncpol https://t.co/ml7eiz0z97
46,46,1275829326945157123,1,"@karlfly11 @bluetx2020 @govabbott of diagnosed cases that have resolved, the fatality rate worldwide is 9%. between covid19 and swine flu, the fatality rate for covid is 100x worse

the fatality rate doesn't include those that survive with long term damage to their health

https://t.co/h01ocbnjjs https://t.co/sjwdvu5h3x"
