Claim Text,Source of Verification,url,Given Label,Filtered Label
"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese.""",snopes.com,https://www.snopes.com/fact-check/trump-chinese-virus-notes/,True,true
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,politifact.com,https://www.politifact.com/factchecks/2020/jun/18/monica-wallace/do-two-months-coronavirus-deaths-exceed-number-dru/,True,true
"The reelection campaign for U.S. President Donald Trump required attendees reserving tickets for a June 20, 2020, rally in Tulsa to agree they will not sue the campaign or event organizers should they be exposed to COVID-19 at the event.",snopes.com,https://www.snopes.com/fact-check/covid-19-trump-tulsa-rally-june/,True,true
WHO stated that asymptomatic COVID-19 cases rarely spread the disease.,thelogicalindian.com,https://thelogicalindian.com/fact-check/who-asymptomatic-covid-19-rarely-spread-21705,True,true
A photograph shows the damage to a person's lung from the COVID-19 coronavirus disease.,snopes.com,https://www.snopes.com/fact-check/lung-from-covid-19-patient/,True,true
"Melinda Gates said Black people should be first in line, after health care workers, to be vaccinated against COVID-19.",snopes.com,https://www.snopes.com/fact-check/melinda-black-people-covid/,True,true
“Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.”,politifact.com,https://www.politifact.com/factchecks/2020/jun/08/glenn-grothman/glenn-grothman-target-about-tie-between-vitamin-d-/,True,true
"In responding to a question about per capita coronavirus testing, President Trump asserted ""there's many per capitas"" and questioned ""per capita relative to what?""",snopes.com,https://www.snopes.com/fact-check/trump-many-per-capitas/,True,true
U.S. President Donald Trump said that increased COVID-19 testing makes the U.S. look bad by increasing coronavirus case numbers.,snopes.com,https://www.snopes.com/fact-check/trump-more-testing-look-bad/,True,true
"During the COVID-19 coronavirus pandemic, U.S. President Donald Trump visited a manufacturing plant without wearing a face mask as Guns N' Roses' rendition of ""Live and Let Die"" played on loudspeakers during his visit.",snopes.com,https://www.snopes.com/fact-check/trump-live-let-die-song-mask/,True,true
A photograph shows a customer shopping at a grocery store during the COVID-19 coronavirus disease pandemic wearing a Ku Klux Klan-like hood over his head.,snopes.com,https://www.snopes.com/fact-check/grocery-store-klan-hood/,True,true
“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,politifact.com,https://www.politifact.com/factchecks/2020/apr/29/jamie-nadler/convalescent-plasma-therapy-showing-promise-agains/,True,true
"A picture shows a person holding a ""Sacrifice the Weak"" sign at a rally urging the state of Tennessee to re-start its economy amid COVID-19 lockdown orders.",snopes.com,https://www.snopes.com/fact-check/sacrifice-the-weak-sign-real/,True,true
An Ohio man died from complications related to the COVID-19 coronavirus disease weeks after he downplayed the virus on social media.,snopes.com,https://www.snopes.com/fact-check/covid-19-denier-die-from-covid/,True,true
"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",politifact.com,https://www.politifact.com/factchecks/2020/apr/22/joe-biden/biden-says-trump-agency-isnt-doing-enough-protect-/,True,true
"U.S. President Donald Trump praised China for its ""transparency"" in handling the coronavirus outbreak, then later criticized the World Health Organization for doing the same.",snopes.com,https://www.snopes.com/fact-check/trump-china-transparency/,True,true
“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,politifact.com,https://www.politifact.com/factchecks/2020/apr/16/facebook-posts/yes-africans-are-being-evicted-china-amid-fear-sec/,True,true
A CBS News program used a brief clip from an Italian hospital in a segment about the coronavirus crisis in New York City.,snopes.com,https://www.snopes.com/fact-check/cbs-news-italian-hospital/,True,true
"Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”",politifact.com,https://www.politifact.com/factchecks/2020/apr/08/john-bel-edwards/louisiana-governor-right-there-was-no-suggestion-m/,True,true
"Hospitals get paid more if patients listed as COVID-19, on ventilators",usatoday.com,https://www.usatoday.com/story/news/factcheck/2020/04/24/fact-check-medicare-hospitals-paid-more-covid-19-patients-coronavirus/3000638001/,True,true
Video of a subway passenger licking his hand and rubbing it over a pole during the coronavirus outbreak,altnews.in,https://www.altnews.in/covid-19-video-of-belgian-man-rubbing-saliva-ridden-hand-on-metro-train-handrail-viral-in-india/,True,true
Spectrum will provide free internet to students during coronavirus school closures.,politifact.com,https://www.politifact.com/factchecks/2020/mar/17/viral-image/internet-provider-offer-free-internet-amid-coronav/,True,true
"Coronavirus originated in China, not elsewhere, researchers and studies say",usatoday.com,https://www.usatoday.com/story/news/factcheck/2020/03/16/coronavirus-fact-check-where-did-covid-19-start-experts-say-china/5053783002/,True,true
