,id,tweet,label,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1290654817703153665,"People are dying from fentenyl everyday. He had morphine, meth and fentenyl in his system. Add the ccp chinese corona virus and prior heart issues and that would kill anyone!",1,Thewarrantymann,"#AMERICAFirst #Constitution #1A #2A #Automotive #MAGA #KAG #GOD #ISRAEL #BUILDTHEWALL
#STAND #BRC #SigSauer #NineLine",https://t.co/kA9ydR2jnf,1569,486,2012-01-16 11:28:19,465465518,"Philadelphia, PA",False,20770,21230
1,1290665451786137600,Corona joined @BJP4India . Please take care and get well soon.,0,amms28,#StayHomeStaySafe,,1349,2075,2010-01-15 06:42:52,105058868,Gurgaon,False,186829,239199
2,1290674697357721602,My school: please believe oh my god please we are following health protocols please please we promise Also my school: hello here is two more people who work with our school who tested positive for covid see you all on the 10th! &lt;3,1,RetroGecktile,"I’m Retro, baby! they/he! COMMISSIONS; closed! | i am a minor, DONT FOLLOW IF NSFW OR I BLOCK https://t.co/edVyPWCVqk",,121,137,2019-03-31 03:22:02,1112193304010153984,,False,9531,2771
3,1290677713729130501,"@Collector_MBNR Sir, Still there no transparency for treatment of Covid 19 positive patients at MBNR .Patients are forced to get admitted at Hyderabad corporate hospitals and spend lakhs of rupees .Can u pls ask the authorities to provide treatment at Mbnr isolation wards.",1,RAMANA05164388,RAMANA,,23,1,2020-07-29 15:48:05,1288501461790461954,,False,1,1
4,1290661356958515213,"Hey good people hope you are safe wherever you are, let us help stop corona virus remember STAY home as much as you can KEEP a safe distance WASH hands often COVER your cough with your elbow WEAR your mask SICK? Call toll free number 2019 #STAYHOMESAVELIVES #COVID19ISREAL",1,Bethany_Zvish,,,129,30,2019-10-16 10:26:52,1184415373917151233,,False,23,18
5,1290671774816808961,We r in Quarantine because in Our neighborhood Corona patients are found. @UPGovt @PMOIndia @narendramodi I won't be able to give UPBED2020 paper because of Corona. please postpone it as our life and country is going in Emergency case.,1,Manmeet05651924,,,16,7,2020-04-26 14:34:03,1254418406750793734,,False,7,28
6,1290661075311099910,"Corona bit everyone in the ass. And for the names you mentioned, honestly, if they are available, why wouldn’t you gain use those names. Rating...meh, I don’t care and look toward the rankings for the night and views online.",0,Hamanicart617,"The first rule of Pal Club is: 

Breathing normally while watching the World Wrestling Federation.",,2483,2203,2017-05-22 14:33:42,866663361576132610,Pals Unknown,False,83855,58870
7,1290676715312816128,"This sucks. Every case of COVID sucks in a much more important way, but a substantial portion of a season without Yadi sucks in a baseball way that I still care about. ",0,MATrueblood,"Writer, Baseball Prospectus. Author of @PenningBull, an email newsletter about baseball.",https://t.co/smI2JaLSu2,605,4544,2009-12-04 06:41:40,94504004,"Blaine, MN",False,10807,67214
8,1290668908245127169,“If you’ve got corona virus wash your hands.....” how long ago was that?,1,GaryFielden,,,1150,302,2011-07-16 07:47:34,336416778,Northwich,False,19760,11282
9,1290676464241848321,False. The median income was on the rise before covid. increase for thevaverage American was about 3000 a year and much more than that for people who were able to find jobs and whose jobs became full time.,0,ArtbyAWOHS,"Abortion Abolitionist. News Peruser. Not Socialist. Liberty First. Saved by Grace. Bad grammar, typos and sarcasm.",,6292,6563,2009-03-29 21:17:59,27506559,Here,False,13618,168080
10,1290652064083841031,You people don't tell us about religious programme what happened in tablighi is the base of corona spread,1,Sumit45121689,I love my armed forces and police,,55,2,2020-04-29 19:18:42,1255577210444005377,,False,93,129
11,1290673816553713664,"863 new cases take the district's cumulative covid tally to 15,471 on Tuesday. In the last 7 days (July 29 to August 4), 7,341 new cases were reported in #Vizag district.",0,toi_Smehta,"Assistant editor at The Times of India, Visakhapatnam, Andhra Pradesh

Nature is peace, beauty & God. Man-made religions reek of violence, hatred, negativity.",,48,602,2015-09-11 09:10:41,3525115159,Visakhapatnam,False,85,1422
12,1290664981722275841,"@ysjagan Sir PLZ OPEN THIS LINK HELP TO MONTHS BABY SIR BABY GOT CORONA VIRUS AND MOTHER ALSO BOTH ARE IN OUR GUNTUR ""GGH HOSPITAL"" HOSPITAL STAFF DON'T CARING ABOUT BABY PLZ HELP TO BABY PLZ ",1,satish_gudipati,"JAI HIND     VANDE  MATARAM.                                        

                       
      8886582215, 8555051128",,75,1,2014-09-01 11:51:09,2783953674,Born in Mangalagiri,False,5,48
13,1290675257871925249,"If you want to visit Norseal and see our drop seal cutting machine in action (it's the only one in Europe!) within COVID restrictions of course, then get in touch. The Geordie hospitality is great! Call on 01661 830088 and we'll get it in the diary http://ow.ly/Ufie30r1Q3t",1,Norseal,"Intumescent seals, intumescent smoke and fire seals, intumescent strips, child safety & acoustic door seals specialists. Proud supporter of #FireDoorSafetyWeek",https://t.co/eo2W2JgObA,1953,1099,2013-10-15 15:23:35,1962870938,United Kingdom,False,592,5512
