Tweet id,Tweet text,True/False?
1290676801694440000,While facing psychological depression the society expect scientists around converging in suggestion or recommendation toward COVID-19 resolution to calm down people,0
1290675781895580000,Remember when Fauci pushed AZT on AIDS patients and killed a lot of them with it? Now he’s pushing untested vaccines for Covid and repressing treatments that work. And the corporate media has millions worshipping him. ,0
1290675112258260000,"Mr. Floyd seemed to be having a really bad anxiety attack. The anxiety raised his heart rate which caused breathlessness. That, combined with a lingering Covid infection, combined with a probable lethal dose of drugs caused a heart attack. In my opinion.",0
1290674323431330000,Does anyone have an air purifier? Would y'all recommend it or is it a waste of money? Any brands in particular? I have been waking up with a really bad congested nose every morning and it's getting exhausting to keep thinking I have COVID when in reality it's just allergies.,1
1290674693813350000,Professor David Baker's audacious approach to creating new proteins may offer new options for stopping disease—including COVID-19. ,0
1290677130162910000,"Except the patent is public info, Vik, so Kennedy does have facts to back up his assertion. Also, new research shows Covid-19 RNA camouflages itself as human RNA which increases likelihood of autoimmune disorders from any Covid-19 vaccine: ",0
1290649842843290000,"I'm thinking most people are no longer creeped out by this often-used image of the corona virus so its losing it's click bait power. That begs the question, what new image will media settle on to create the requisite level of revulsion. An intubated patient? A dead body? ",0
1290677242788480000,"No different from having an annual flu shot. Count me in! In fact, they could probably combine the Covid and Flu vaccines together for a two in one shot.",0
1290674834385570000,If we continue at this rate the economy with be decimated and mental health issues will be far more rampant than covid ever was. Is anyone really looking critically at suicide rate.,1
1290659350843990000,"It would be very dangerous to open schools, colleges at this time. Government isn't showing correctly the data of Corona patients and also their tests are doubtful. So be careful to demand to open educational institutions. Will our children able to face virus attack.",0
1290673988952360000,"How should industrial manufacturing companies prepare to challenges brought by the Covid-19 pandemic? How should they leverage these trends to become more innovative, cost-effective and competitive? Find out more here: ",0
1290674215700640000,"The accounts of monthly board meetings published on the group's website are cursory, says Chen. A summary of the December meeting, for example, simply says evidence of human-to-human transmission of COVID-19 in Wuhan was ""insufficient.",0
