,id,tweet,label,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1290668519454113798,"Why are you perpetuating this nonsense, anyway? You are privy to the #WorldEconomicForum 'Corona' graphic, which was created LONG before this &lt;cough, not Covid&gt; #Scamdemic ever happened. Is there one 'news' outlet anywhere brave enough to tell the truth?",1,Buster_Guff,"My thoughts are my own, and can at times, seem offensive to the overly sensitive.",,267,280,2016-06-27 08:09:48,747341143919104000,"South West, England",False,4698,10729
1,1290675275169243143,Gotta agree with the guy above. Just wear your mask and stop arguing with medical professionals who make a living off of keeping us safe. Recent headline of political activist Herman Cain developed illness and died from COVID complications from not wearing a mask...,0,asianboyian,"thank you, Logic. 🦾",,822,208,2016-03-22 20:42:50,712379029698048002,,False,18349,3718
2,1290674221081939968,"My sentiments exactly - all these people thinking that he is just stupid. He knows what he is doing by trying to twist the facts - He IS stupid to think that anyone would buy his version of ""we have the best stats in the world on covid.",0,caroline7eliza,"Wednesday ""Shade"" Adams: The Regina George of the Trump community. #FTS
***Member of Former Trump Supporters, sworn loyalty to the downfall of Trump***",,1237,605,2013-06-08 04:51:26,1492020625,"Annapolis, MD",False,43370,5068
3,1290677221091418114,"Hello Ima Single Dad, I Lost My Job Due To COVID-19. I’m Currently Low On Food And Essential Items, Can Anyone Help Me And My 3 Year Old Son Please, Also Retweet For Exposure My CashApp Is ($Ogslim5300) My Venmo is Dunk5300 ",0,UptopSlim53,"Single 👨‍👦 Father🥇💉OTF👨‍👦 N.E.↗️ Getting Better, I'm At Practice 💵 Is Motivation Take Risk And Prosper 🙏🏽 $Ogslim5300",,4999,1162,2011-12-04 06:42:16,427998529,,False,17329,26654
4,1290673917632434177,"@eddiemair This wall to wall #Covid stuff is for most people really boring radio especially with so much out there like @SecPompeo’s attempts at virtual war with #China , truth about a Russisn vaccine, demonstrations in Israel etc etc .. Wake up @LBC",1,BlairToTheHague,"Documentary filmmaker , peace activist, father of two amazing kids.",,717,244,2012-07-08 20:52:10,630592908,London,False,217,1132
5,1290677399655337984,#TuesdayMorning All This Talk Of #Covid_19 Numbers Yet No Talk About That High Risk Community Within Our Community Are Our Homless Still In Motel / Hotels Nope Are Our Homeless Back In The Same Situation Pre Government Roll Up Yes Take A Look Around #vetsrising,1,82nd13,"Husband, Dad T1D / CROHN'S Parent 
 Former 13F2P PROUD MEMBER @iava @codeofsupport #vetsrising Veteran / Family Advocate The VOICE Authority Hates Too Hear 🤨",,2567,1046,2018-09-04 03:12:14,1036814163371220993,California 916,False,45071,25373
6,1290675212879626241,Coronavirus impact: Doctor gives advice for monitoring kids’ screen time amid pandemic — ABC7 Bay Area https://apple.news/AUUgJihfnT9KokYdJL5LZYg #COVID #screentime,1,familyvoices_AL,Our Vision: That every child and youth with special needs receives family-centered health care. RTs are not endorsements. #FVAL #F2F #F2FHIC,https://t.co/drYIufN0K8,190,61,2018-07-25 14:39:56,1022129325791948802,"Alabama, USA",False,115,1723
7,1290676688423092225,"And by “public”, you mean radical leftists that would complain if he told us the cure for covid... oh wait..he did.",1,scott_thereal,"Think for yourself. Constitutionalist Trust in Jesus, or not. Either way, you still get to meet him someday.",,179,378,2017-01-22 10:37:15,823117313528528896,USA,False,8487,8383
8,1290676329457819648,"Are you preparing to head back to the office? We are, and we can’t wait to start seeing each other face to face. We couldn’t do it without the help of our Covid Safety Officer, Flora, who’s making sure the transition isn’t too ruff... #EmployeeEngagement #officedogs",0,helloNKD,We're a next-generation employee engagement agency. We supercharge your business performance through your people!,https://t.co/VVtPLnVvlZ,1179,1145,2009-08-13 16:02:57,65396175,London,False,944,2717
9,1290655204585680900,"How could they care either way? They’re not even playing sports right now because you’re destroying the country with your bungled Corona virus response. Great job on that Axios crash and burn, BTW. Heckuva job, Donnie.",1,dolgre82,"So much to be grateful for: my hubby, kids, family & friends, my patients. Animals, music, nature, camping, science & medicine. Truth. Freedom. Booze. RN/CNP",,156,69,2013-10-16 17:56:31,1965253352,"New Mexico, USA",False,3347,6710
10,1290675900523130885,"Im actually more insulted by the fact that he said ""nobody has done more for black Americans than me"" while not even trying to back up that claim with stats, facts and figures. We dont even get misleading or misappropriated graph data like he did with Covid deaths.",0,hegonbealright,They call me popsicle because Im cool but Im sloppy.,https://t.co/uD6nXMKmka,0,6,2019-03-01 17:33:21,1101535912251572224,YouTube:,False,134,393
11,1290675108982296576,.@LawDavF sat on the Chilcot panel Here he says the Covid-19 public inquiry must not be based on previous models. We will need something new ,0,prospect_uk,Think again. Think Prospect,https://t.co/0U5ZAE7lg2,4399,50597,2009-02-20 18:02:06,21417687,London,True,1462,105820
12,1290674494114127879,"""Instead of taking the summer to hone arguments against returning to the classroom, administrators and teachers should be thinking about how they can best support children and their families through a turbulent time. "" Literally all I think about. Well, that & dying from Covid.",0,RCMeg,"Asst Prof & WPA, Sonoma St. Formerly, Dartmouth Inst for Writing & Rhetoric & #usf Writing Studio. #teamrhetoric #firstgen (views mine, obv) she/her",https://t.co/3FtnbWfxRJ,1412,1793,2011-10-21 23:21:03,395611908,"Rohnert Park, CA",False,32442,12973
13,1290675165207158789,Moral of the story stop getting too technical. Make noise after Corona,0,SangayKarp,Calm and Cribby- GNH'ed out Man,,70,138,2012-08-11 01:29:35,750404258,Everywhere,False,59,3864
14,1290638204974972930,"Thanks @AmitShah . Your dedicated effort and affection towards Delhiites, revived the corona pandemic situation from worst to better. Delhiites proud of their home minister . Now the time to Take care if yourself sir @BJP4Delhi",1,divybhargav1,Jai Shri Ram 🙏🏻,,521,144,2018-06-17 06:28:38,1008234948833284103,Delhi NCR- Noida,False,12990,3048
15,1290676779284402177,"To all the people who stay saying “watch, as soon as the election is over later this year Covid will just magically disappear”.... I hope you’re right. I’m OVER this shit. I just want life to go back to how it was back in January &amp; February ",0,ValleyGrl89,Cali girl 🌴☀️ Kentucky livin' 🌳🐴 Mexicana 🇲🇽 31 ♑️ Tequila lover 🍹Wine drinker 🍷coffee sipper ☕️ Momma 🐻 of 2 girls 🎀💕,,289,129,2010-06-01 21:38:59,150802156,LA ➡️ KY ,False,1026,10858
16,1290676237770186753,"Hey @ucdavis - implementing paid parking is not the best idea. My essential lab workers, if not able to ride, will need to take the bus and put themselves at increased risk of COVID.... This new policy means an increased risk of exposure to all who come to campus..",1,bradylabs,"Getting to the root of biology, one plant at a time.",https://t.co/1TgLYwcMMv,620,4297,2014-01-15 05:40:29,2292210726,UC Davis,False,6236,1661
17,1290676712615874561,"you know what... maybe corona gave us a W and bts performing at the vmas virtually is a god sent cause not only they’re in the comfort of their home/country BUT we get decent camerawork &amp; lighting, full on stage set up and we can turn that sht off as soon as they’re done",1,p7radise,fan acc.,https://t.co/d17EBhEJok,547,2094,2018-10-09 23:19:18,1049801507661651970,"22, she/her",False,71361,29000
18,1290650767389528065,"In view of the increasing challenges that State Transport (ST) is facing due to Corona crisis, a decision to provide ₹550 crore to the ST Corporation has been taken which shall definitely help in alleviating the financial difficulties faced by the ST Corporation.",1,AjitPawarSpeaks,"Deputy Chief Minister, Maharashtra | Member of Legislative Assembly, Baramati | Nationalist Congress Party Leader.",https://t.co/uQNhuGDrVE,33,832135,2014-03-07 07:49:55,2376754662,"Maharashtra, India",True,82,4355
19,1290675865840484352,We are excited to partner with French magazine @laviedesidees @booksandideas to exchange a series of essays about COVID-19 in a global frame. First up: examining the conditions under which some continued to work in Wuhan during weeks of confinement: ,0,PublicBooks,"Public Books is an online magazine of ideas, arts, and scholarship.",http://t.co/aUN6rCm7Ah,1347,15543,2012-01-22 11:19:00,470991619,,False,5267,20271
20,1290658516408193026,"The corona virus hoax Political hunger games. This is the new world order guys. Wanasema ni ""THE NEW NORMAL"". ",1,SimonGako,Entrepreneur.,https://t.co/UK0CUAZK82,5930,5472,2009-11-17 14:32:22,90640725,Nairobi,False,1632,9026
21,1290635796630863873,"Pandemics and disinformation change the rules. There is a company selling essential oils on Facebook to ""cure corona virus"". Should that be allowed to stand?",0,kevinfolta,Academic scientist obsessed with sustainable food / farm technology and strategic communication.  Talking Biotech Podcast host. https://t.co/ZTCpQm6tVz,https://t.co/YdSb4815Ks,988,24561,2010-04-03 13:38:29,129193125,"Archer, FL",True,27289,42340
22,1290661629605171200,"That dedicated gym are bad fuckin conmen, signed up to the Wirral one which was meant to open on the 14th march, never opened then corona happened but they haven’t given any update&amp; blank the comments asking about it but apparently I’m in £54 debt with a gym that doesn’t exist ",1,ChloeOhanlon,Free your soul🔮🌙🍄🌸🌈✨💫🌞,https://t.co/F1tv3wn1fS,3168,3282,2009-12-05 11:02:45,94772179,Wirral,False,19550,21388
