Tweet id,Tweet text,Tweet category,Tweet label
1.29067E+18,"Why are you perpetuating this nonsense, anyway? You are privy to the #WorldEconomicForum 'Corona' graphic, which was created LONG before this &lt;cough, not Covid&gt; #Scamdemic ever happened. Is there one 'news' outlet anywhere brave enough to tell the truth?",other,FALSE
1.29065E+18,"People are dying from fentenyl everyday. He had morphine, meth and fentenyl in his system. Add the ccp chinese corona virus and prior heart issues and that would kill anyone!",health,FALSE
1.29064E+18,"Hahah, this president is a strange one, it’s going down I think he meant American people going down with corona",politics,FALSE
1.29068E+18,"Voting... touch the same machine as everybody else, or touch a shared pen, or a shared punch card poker chained to the voting booth... it is hard, dangerous, and potentially deadly when done in person these days. Pay attention. 1 in 26 dies when contracted with COVID-19",health,FALSE
1.29067E+18,Doctors warn people without fevers may still have COVID-19 ,health,FALSE
1.29066E+18,"When asked about Corona death totals, Trump said, ""It is what it is."" It is remarkable that such a creature exists and is considered by some to be more than sub-human.",politics,FALSE
1.29066E+18,I admire your comment. You are true in your statement. If India is first for Mr. Modi he would have not have put poor people who voted him on road and many are killed by his mismanagement on Corona virus. He did nothing admiring works . He spent people money for thier interest. ,politics,FALSE
1.29067E+18,Corona joined @BJP4India . Please take care and get well soon.,health,FALSE
1.29067E+18,My school: please believe oh my god please we are following health protocols please please we promise Also my school: hello here is two more people who work with our school who tested positive for covid see you all on the 10th! &lt;3,health,FALSE
1.29068E+18,"@Collector_MBNR Sir, Still there no transparency for treatment of Covid 19 positive patients at MBNR .Patients are forced to get admitted at Hyderabad corporate hospitals and spend lakhs of rupees .Can u pls ask the authorities to provide treatment at Mbnr isolation wards.",health,FALSE
1.29068E+18,Gotta agree with the guy above. Just wear your mask and stop arguing with medical professionals who make a living off of keeping us safe. Recent headline of political activist Herman Cain developed illness and died from COVID complications from not wearing a mask...,other,FALSE
1.29067E+18,"My sentiments exactly - all these people thinking that he is just stupid. He knows what he is doing by trying to twist the facts - He IS stupid to think that anyone would buy his version of ""we have the best stats in the world on covid.",other,FALSE
1.29068E+18,While facing psychological depression the society expect scientists around converging in suggestion or recommendation toward COVID-19 resolution to calm down people,immunity,FALSE
1.29064E+18,Try calling and telling them you’re being affected by corona virus .. they might be able to move the payment date or something :),transmission,FALSE
1.29068E+18,"John: ""Thank goodness we vote in November & will be rid of Trump"" Beware: DEM's have a very bad habit of pulling defeat from the jaws of victory I'm 64 y.o., and have seen this happen too often Trump has broken the P.O. system Voting in person, even if it means COVID &amp; death ",politics,FALSE
1.29066E+18,"Hey good people hope you are safe wherever you are, let us help stop corona virus remember STAY home as much as you can KEEP a safe distance WASH hands often COVER your cough with your elbow WEAR your mask SICK? Call toll free number 2019 #STAYHOMESAVELIVES #COVID19ISREAL",transmission,FALSE
1.29068E+18,"Germany's doctor's union says second COVID-19 wave has hit, while France's scientific council thinks worse could come ",politics,FALSE
1.29067E+18,1st I favour Democrats 2nd no matter whether you like Trump ir not hes put is Country 1st 2nd 3rd has a Diplomatic Polotician zero has a Strong Leader bar Covid hes 9 out 10 if you thing touchy feely Biden is the answer god help America I liked Obama a lot but he wasted 8 years,politics,FALSE
1.29068E+18,Remember when Fauci pushed AZT on AIDS patients and killed a lot of them with it? Now he’s pushing untested vaccines for Covid and repressing treatments that work. And the corporate media has millions worshipping him. ,immunity,FALSE
1.29067E+18,We r in Quarantine because in Our neighborhood Corona patients are found. @UPGovt @PMOIndia @narendramodi I won't be able to give UPBED2020 paper because of Corona. please postpone it as our life and country is going in Emergency case.,health,FALSE
