Tweet id,Tweet text,True/False?
1290654817703150000,"People are dying from fentenyl everyday. He had morphine, meth and fentenyl in his system. Add the ccp chinese corona virus and prior heart issues and that would kill anyone!",1
1290665451786130000,Corona joined @BJP4India . Please take care and get well soon.,0
1290674697357720000,My school: please believe oh my god please we are following health protocols please please we promise Also my school: hello here is two more people who work with our school who tested positive for covid see you all on the 10th! &lt;3,1
1290677713729130000,"@Collector_MBNR Sir, Still there no transparency for treatment of Covid 19 positive patients at MBNR .Patients are forced to get admitted at Hyderabad corporate hospitals and spend lakhs of rupees .Can u pls ask the authorities to provide treatment at Mbnr isolation wards.",1
1290661356958510000,"Hey good people hope you are safe wherever you are, let us help stop corona virus remember STAY home as much as you can KEEP a safe distance WASH hands often COVER your cough with your elbow WEAR your mask SICK? Call toll free number 2019 #STAYHOMESAVELIVES #COVID19ISREAL",1
1290671774816800000,We r in Quarantine because in Our neighborhood Corona patients are found. @UPGovt @PMOIndia @narendramodi I won't be able to give UPBED2020 paper because of Corona. please postpone it as our life and country is going in Emergency case.,1
1290661075311090000,"Corona bit everyone in the ass. And for the names you mentioned, honestly, if they are available, why wouldn’t you gain use those names. Rating...meh, I don’t care and look toward the rankings for the night and views online.",0
1290676715312810000,"This sucks. Every case of COVID sucks in a much more important way, but a substantial portion of a season without Yadi sucks in a baseball way that I still care about. ",0
1290668908245120000,“If you’ve got corona virus wash your hands.....” how long ago was that?,1
1290676464241840000,False. The median income was on the rise before covid. increase for thevaverage American was about 3000 a year and much more than that for people who were able to find jobs and whose jobs became full time.,0
1290652064083840000,You people don't tell us about religious programme what happened in tablighi is the base of corona spread,1
1290673816553710000,"863 new cases take the district's cumulative covid tally to 15,471 on Tuesday. In the last 7 days (July 29 to August 4), 7,341 new cases were reported in #Vizag district.",0
1290664981722270000,"@ysjagan Sir PLZ OPEN THIS LINK HELP TO MONTHS BABY SIR BABY GOT CORONA VIRUS AND MOTHER ALSO BOTH ARE IN OUR GUNTUR ""GGH HOSPITAL"" HOSPITAL STAFF DON'T CARING ABOUT BABY PLZ HELP TO BABY PLZ ",1
1290675257871920000,"If you want to visit Norseal and see our drop seal cutting machine in action (it's the only one in Europe!) within COVID restrictions of course, then get in touch. The Geordie hospitality is great! Call on 01661 830088 and we'll get it in the diary http://ow.ly/Ufie30r1Q3t",1
1290676106299870000,"""Parents/guardians will be asked to perform a daily screening of their child(ren) for COVID-19 symptoms BEFORE leaving for school using a self-assessment checklist:"" Who's going to check the latch key kids, and what happens when parents forget or don't bother?",0
1290675146638990000,That’s because the hospitals could not send anyone with insurance and lose that money they were told to only send non insurance people to the Comfort so the hospital would not lose money they wanted the Covid patient’s to bill there insurance smh and this America,1
1290675565729420000,"I count 2 masks. These young people didn’t get to decide their fate. As a parent, how are you going to live after your child or other loved one, dies or struggles to breathe after contracting COVID? How will you wake up each day after they are gone, knowing you sent them?",0
1290639868188480000,In March Birx/Fauci projected 200k corona deaths if we did things almost perfectly... 2.2 million if we did nothing... at 150k corona deaths Trumps response has been well within the range of almost perfect.,0
1290658063175810000,"@KTRTRS @TelanganaCMO @TelanganaHealth Please look into this matter. It could put hundreds of lives in danger. Allegedly, even some govt representatives are also endorsing him. According to his claims in some videos, some corona positive patients were ""cured"" by his medication. ",1
1290658735380210000,"@glenofthepower this corona overtaking virus, is just crazy, have you had to postpone wedding date also? I'm looking forward to normal life again, and see you guys go back to ""work"" ",1
1290677261147030000,"Sooooo a center that was set up to have enough beds to relieve the hospitals, would be covid only? And just for old people?",1
1290654830940370000,Really feeling very upset today . Day by day Corona increasing here. Oh God please save our lives from this pandemic,0
1290648220461400000,This is not threat. Multiple mumbai police's has died due to corona and also always stood for state in any cricises. Now you are attacking direct mumbai police. Think on it.,1
1290675382144790000,Respected authorities @cbseindia29 you are requested to cancel the compartment exams 2020 due to the increase in covid cases. As if our honorable HomeMinister can be affected by this pandemic then what are we students? @sudhirchaudhary Sir please help in any way you can. @ZeeNews,1
1290660823875160000,"Do you ever stop and feel so overwhelmed by life? I had this moment this year. Life fell apart, then Corona, then quarantine, and then my son’s self harm exploded. I felt helpless in the situation. Everything I… https://www.instagram.com/p/CDeKc9BH9la/?igshid=1o50ihvxuzncw",1
1290674337855430000,in my district we had like 2 or 3 weeks ago just around 70/80 people testet positiv of covid from march on and in this just 2 or 3 weeks it went up to around 120/130 so that's about 60 new people in this short time. we fear a new lock-down in our area. ,1
1290653207983720000,Congrats 2 Corona warriors . For the first time recovery figure exceeded affected figure.!A great psychological relief to people .Hopefully Govt will reconsider decision on weekend shutdowns which has been breaking financial backbone of poors @CMO_Odisha,0
1290676720564010000,We are all going to get COVID.. 99% will not even know that they have it.. The best thing you can do is prepare for it... Lots of Vitamin C (IV Therapy) and Hydro...Its like living in a trailer in Oklahoma. You know the tornado is coming some day. Prepare for it.,0
1290676343861010000,people are so dumb like we have THREE covid units and we just had to open another one and we are just ONE hospital in my city,0
1290645679912750000,"With Corona virus around, why are these people so earger to take selfie",1
1290676752302440000,"Mine guilt tripped me into having diner with them and then told me after diner that they had my father tested for Covid and the test was inconclusive. Do I have it? I don't know, but I get to spend the next two weeks in horrible anxiety.",0
1290659262088310000,"If like 5 peeps jump on I'd figure out shipping, I guess international w/ the current corona situation would be a pain but something's gotta work out these are super slim !",1
1290675264683470000,The flu season is coming even during the COVID-19 pandemic. Be ready to get your flu shots soon. http://bit.ly/2XtnUZf #BocaRaton #BoyntonBeach,1
1290650454427410000,"Pls tell me whr to give evidence to shw wilful delay n malpractice of corruption by your officers? Im ready to give and be fair to admit n take actions, how can simple edu loan be kept pending for such a long time? Corona came in Mar22, but it is pending since 2019. @PMOIndia",1
1290635718331630000,The reason you’re there is how corona is spread? Worthwhile cause. Lol Thanks for announcing to the world your ignorance on the matter. Good day to you.,1
1290636056535210000,"Hi Pi network members. Hope you All are well in these Corona times . Remember to push the button in the app every 24 hours. IF You are not a member yet. Send me a PM ""MAKE MONEY ON YOUR PHONE"". And I will send you more Ingo. ",1
1290675956013830000,Since Covid started I’ve been visiting two dreamlands instead of just one... soon I might be out of touch from reality.,1
1290670759019520000,New @IMOHQ greenhouse gas study shows #shipping emissions remain firmly below 2008 level. Projections to 2050 under plausible economic scenarios fall between 10% below 2008 level to 30% above. Impact from Corona downturn not incorporated. Meeting 2050 target is possible ,0
1290675276641440000,"For now, it did. However, it’s still above the levels we had before the corona crash. ",1
1290675095543990000,"What can be done to mitigate the damage caused by COVID-19 #schoolclosures? In a new @wef article, @savechildrenuk’s @KevinAtSave describes a three-part agenda for recovery: https://bit.ly/3i9Cptn #SaveOurEducation",1
1290659000279860000,"I don’t see how sending kids back to school in Sept will be safe. Virus will spread on buses, in schools. Many parents/staff will get sick from Covid. Some will die. Ontario Schools get shut down by Thanksgiving. Corona out of control by then. Just my thoughts. Risky business",0
1290676866844630000,"Are you one of the 3m excluded from Covid-19 Govt support schemes? Come check out our website. You'll find loads of useful info, support &amp; a growing community who gets what you're going through. #ExcludedUK #gapsinsupport #mentalhealth #wearenotgoingaway",1
1290674036301790000,"This has been an unusual year (I know... understatement) particularly with sports. Give @espn, @karlravechespn, and others credit for adapting to the COVID-19 situation.",0
1290674486065460000,".@NYGovCuomo said what he needed to to get PPE, etc. to SAVE AMERICAN LIVES because the federal gov't failed to act. WH knew in Nov 2019. Were briefed in Jan 2020 too, but didn't prepare – downplayed COVID-19 as a ""hoax."" You dismissed masks. You could've saved lives.",1
1290648691871810000,Researchers find this #Vaccine SHOT Effective in Controlling #COVID19 Spread! Details about the Vaccine #Vaccines #Coronavirus #Corona ,0
1290662052147720000,Almost half a million people have died from the corona virus guys. It’s okay if you’re over it / don’t gaf anymore. But just say that.,0
1290663547513560000,"Is your business Corona'd? Then use Bizitalk's 300,000+ social media followers to get going again. Tell 'em about it - every day! Click here and get started today...https://bit.ly/2GEEgpU #bizitalk #bizitweet #bizitalking #bizitips (Some of our member's pics below)",0
1290671795339750000,"▪︎ The number of corona patients has decreased as 82563 patients have been recovered and active corona cases are only 8486 in Punjab. ▪︎So far, 93197 have been affected by this virus in Punjab and 739253 have been tested.",0
1290675860941550000,Are you receiving your GCSEs and A-levels this month or a teacher? How will you be receiving your results/what effect has COVID had on studies? Would be great to speak to students and teachers in Plymouth about this. Email me eve.watson@reachplc.com or send me a message!,1
1290675250460530000,Brilliant! When you took over @realDonaldTrump there was a playbook for handling outbreaks like COVID-19 that you ignored. Oh and see if you can wrap your puny brain around this.. the 19 in COVID-19 Is for the YEAR it was discovered. DOH! ,1
1290674146087710000,"they are full of Covid patients,many have had to lay off a lot of their staff too!They don’t need any of the O.R. Staff bc they can’t do surgery,that goes for other specialties as well! I know when you’re working and your life is going well you forget how others’ can’t b like you",0
1290648259686470000,Asim is not a fool knows what is he http://doing.No big Bollywood star is coming up with MV.even whole Bllywd s shaken after SSR &amp; corona outbreak while Asim is getting http://projects.So u shld be thankful.They r being offered work together.We r no one to decide.,1
1290675264448410000,"This isn't a great day for anyone. Covid is killing 1,000 people a day. The people in that room are crowded together and most without a mask. Gardner has still not answered @cprwarner question about healthcare. And, he hasn't not spoken out in favor of mail in ballots.",0
1290674893776980000,During COVID-19 what happens if you need to close all or part of your business? @PwC UK's James Hampshire talks to @csoonline about the 7 steps you need to consider when thinking about Cyber Security. Read the article here https://bit.ly/2EJoI5H,1
1290676846980400000,"George Floyd in no way should have died regardless of his crime or resisting. It could have been avoided on both ends. But yeah, lets talk about his covid positive. Why is he in public with no mask on at a liquor store and allegedly passing counterfeit 20s all why being positive",0
