Tweet id,Tweet text,True/False?
1290668519454110000,"Why are you perpetuating this nonsense, anyway? You are privy to the #WorldEconomicForum 'Corona' graphic, which was created LONG before this &lt;cough, not Covid&gt; #Scamdemic ever happened. Is there one 'news' outlet anywhere brave enough to tell the truth?",1
1290675275169240000,Gotta agree with the guy above. Just wear your mask and stop arguing with medical professionals who make a living off of keeping us safe. Recent headline of political activist Herman Cain developed illness and died from COVID complications from not wearing a mask...,0
1290674221081930000,"My sentiments exactly - all these people thinking that he is just stupid. He knows what he is doing by trying to twist the facts - He IS stupid to think that anyone would buy his version of ""we have the best stats in the world on covid.",0
1290674187065990000,"Look at your own face homie, looks like your the daddy of the apes you ain't got no room to talk. Now go outside without your mask so CoVid and take care of you.",1
1290677221091410000,"Hello Ima Single Dad, I Lost My Job Due To COVID-19. I’m Currently Low On Food And Essential Items, Can Anyone Help Me And My 3 Year Old Son Please, Also Retweet For Exposure My CashApp Is ($Ogslim5300) My Venmo is Dunk5300 ",0
1290673917632430000,"@eddiemair This wall to wall #Covid stuff is for most people really boring radio especially with so much out there like @SecPompeo’s attempts at virtual war with #China , truth about a Russisn vaccine, demonstrations in Israel etc etc .. Wake up @LBC",1
1290677399655330000,#TuesdayMorning All This Talk Of #Covid_19 Numbers Yet No Talk About That High Risk Community Within Our Community Are Our Homless Still In Motel / Hotels Nope Are Our Homeless Back In The Same Situation Pre Government Roll Up Yes Take A Look Around #vetsrising,1
1290675212879620000,Coronavirus impact: Doctor gives advice for monitoring kids’ screen time amid pandemic — ABC7 Bay Area https://apple.news/AUUgJihfnT9KokYdJL5LZYg #COVID #screentime,1
1290676688423090000,"And by “public”, you mean radical leftists that would complain if he told us the cure for covid... oh wait..he did.",1
1290676329457810000,"Are you preparing to head back to the office? We are, and we can’t wait to start seeing each other face to face. We couldn’t do it without the help of our Covid Safety Officer, Flora, who’s making sure the transition isn’t too ruff... #EmployeeEngagement #officedogs",0
1290655204585680000,"How could they care either way? They’re not even playing sports right now because you’re destroying the country with your bungled Corona virus response. Great job on that Axios crash and burn, BTW. Heckuva job, Donnie.",1
1290675900523130000,"Im actually more insulted by the fact that he said ""nobody has done more for black Americans than me"" while not even trying to back up that claim with stats, facts and figures. We dont even get misleading or misappropriated graph data like he did with Covid deaths.",0
1290675108982290000,.@LawDavF sat on the Chilcot panel Here he says the Covid-19 public inquiry must not be based on previous models. We will need something new ,0
1290674494114120000,"""Instead of taking the summer to hone arguments against returning to the classroom, administrators and teachers should be thinking about how they can best support children and their families through a turbulent time. "" Literally all I think about. Well, that & dying from Covid.",0
1290675165207150000,Moral of the story stop getting too technical. Make noise after Corona,0
1290638204974970000,"Thanks @AmitShah . Your dedicated effort and affection towards Delhiites, revived the corona pandemic situation from worst to better. Delhiites proud of their home minister . Now the time to Take care if yourself sir @BJP4Delhi",1
1290676779284400000,"To all the people who stay saying “watch, as soon as the election is over later this year Covid will just magically disappear”.... I hope you’re right. I’m OVER this shit. I just want life to go back to how it was back in January &amp; February ",0
1290676237770180000,"Hey @ucdavis - implementing paid parking is not the best idea. My essential lab workers, if not able to ride, will need to take the bus and put themselves at increased risk of COVID.... This new policy means an increased risk of exposure to all who come to campus..",1
1290676712615870000,"you know what... maybe corona gave us a W and bts performing at the vmas virtually is a god sent cause not only they’re in the comfort of their home/country BUT we get decent camerawork &amp; lighting, full on stage set up and we can turn that sht off as soon as they’re done",1
1290650767389520000,"In view of the increasing challenges that State Transport (ST) is facing due to Corona crisis, a decision to provide ₹550 crore to the ST Corporation has been taken which shall definitely help in alleviating the financial difficulties faced by the ST Corporation.",1
1290675865840480000,We are excited to partner with French magazine @laviedesidees @booksandideas to exchange a series of essays about COVID-19 in a global frame. First up: examining the conditions under which some continued to work in Wuhan during weeks of confinement: ,0
1290658516408190000,"The corona virus hoax Political hunger games. This is the new world order guys. Wanasema ni ""THE NEW NORMAL"". ",1
1290635796630860000,"Pandemics and disinformation change the rules. There is a company selling essential oils on Facebook to ""cure corona virus"". Should that be allowed to stand?",0
1290661629605170000,"That dedicated gym are bad fuckin conmen, signed up to the Wirral one which was meant to open on the 14th march, never opened then corona happened but they haven’t given any update&amp; blank the comments asking about it but apparently I’m in £54 debt with a gym that doesn’t exist ",1
1290677223276580000,"Not saying virus doesnt exist. Covid has been around since 1953 or 54, just saying htat government lied to you and you cannot afford to do nothing and throw your freedom in the garbage. Now they want your air. Can they have it?",1
1290674239406780000,Helping to reduce the spread of COVID-19 can help small businesses stay open. #SupportSmallBusiness,0
1290655848960850000,Please dont mess our lives and again spread corona cases byopening universities soon. let corona be almost finish once,1
1290677389584920000,"COVID-19 has forced acceleration of previously slow-moving digital transformation trends like telecommuting, on-demand food and services, and virtual events. Behind all this is cloud technology. #digitaltransformation #cloud #covid19",1
1290676367798020000,"COVID-19 is a powerful disruptor, responsible for the delay of almost 450k property transactions. It goes without saying, everyone must take action to minimise the ongoing impact. Agents need to make sure their workplaces are COVID-secure, here's how: http://ow.ly/Bqq750AQt3U",1
1290642475258990000,Still mad I didn’t get to have a tenure party this summer. I was going to get a custom sign that said Tenured Ass Bitch then hang it in my office when I went back to work. Fucking corona really messing with my plans to flex on em. ,1
1290676451868640000,"I mean, it’s probably slightly inflated bc if covid right now but yeah either way it’s like include it since we already bought access to the show",0
1290648580500470000,"etc... But it was good I laughed so loud. She said it’s fine if I think she’s crazy, and I said that’s why I feel safe to tell her how I feel about all this corona bullshit, too. Anyway, I feel my position is more scientific, of course, and also more ‘spiritually in tune,’",0
1290674139087470000,"The only thing I didn't complain about was using hand sanitizer. For the fact that I had to handle coins for the car park, and I've always had a pet hate for handling money, even before covid ",0
1290663488659030000,"Sure, if someone changes how they act and you can see they've changed, all for forgiveness and support. But the Toby Fox thing and the corona video just show he hasn't.",0
1290676590435800000,"Our local park that leads into the ravine is holding up to significantly increased usage and we have definitely seen an uptick in laneway strollers and smokers since late April and COVID. Here, it’s been manageable, w/ a few disgruntled by increased #slowlane noise (minor).",1
1290676756895140000,"The future of #commercialrealestate is data, particularly as the industry and economy recover from #covid. We're building a new way of sourcing and securing #occupiers @wbtc_uk - check us out!",1
1290657084661550000,"I can't wait for what BTS In The Soop bring to watch, according to the teasers, permission to wait for nice viewing moments. If something good can be said about the corona, #BTS have got even a little ""to experience a normal life"". #MTVHottest BTS @BTS_twt",1
1290643693154840000,That's what's up bro. I love seeing their usual rants here. It's a free source of laugh and entertainment.. Some are never allowed to step out of the house since Corona started while others are genuinely bitter to their soul... Let's use their post and catch cruise.,1
1290649390001060000,"Exactly! Modi promises everything while announcing something big but when we look at outcome we only find `EMPTY' (Demonetisation, 370, Corona Lockdown, economy reforms, job creation, black money and so on)",1
1290674269807050000,"I am on the side of the young students ... especially now with Covid around, they need to be given every possible chance of a decent future.",0
1290674370059390000,"we aren't making plans on how to handle covid, yet here we are talking about parks that most people aren't allowed to go to without fear of getting sick and dying ",0
1290657490804320000,"No one said banging thalis, clap and liting diya would stop Corona. Come out from your pappu mindset. And a scientific Congres party what has done in Maharashtra everyone knows. You just rubbish nothing else since 70 years you have just speak but haven't done anything. ",1
1290636590989990000,Ice Shivling made by me on the very first of this Sravan asking prayers for the entire world suffering Corona ,1
1290675666447450000,"I rather not be responsible of someone else's health even if both parties are negative of Covid-19 in the beginning, being within close proximity of each other places one in harm's way. So I'm postponing any meetings till further notice.",0
1290658174719200000,"Dude Corona doesnt impacts only infected people, it will n is affecting economy of EVERY NATION. Be logical dude. I am taling about all research n development programs. Building Silicon valley, empowering youth, making roads n water draining systems. Let's start with Mumbai ",1
1290651771103320000,"Good job Lala but without mask, you are donating Corona (DonateCorona). Hope you got my point... ",0
1290635713231420000,Why is all the people who did not give two shits about corona and the rules that are now the people taking a million selfies in their masks as if they would even bother wearing one if it wasn’t now compulsory,1
1290675849235230000,"Hello Ima Single Dad, I Lost My Job Due To COVID-19. I’m Currently Low On Food And Essential Items, Can Anyone Help Me And My 3 Year Old Son Please, Also Retweet For Exposure My CashApp Is ($Ogslim5300) My Venmo is Dunk5300 ",0
1290653526465670000,"I imagine that sometime, after years of dystopian covid self-isolation, I will finally crawl out of my corona-free lair, blinking in the sun, just to touch another human being one last glorious time before succumbing to the virus and handing in my final dinner-pail.",1
1290648304066460000,@Nasty_CSA and @reece_youngking if you guys don't drop your albums they will get attacked by corona virus and delete everything and it have to be us fans suffering cause you've been cooking for so long just serve us we're hungry,1
1290674783567380000,"Y’all are gonna be open for like 2 weeks then get a single case which will close the campus again. If you give students the choice between risking corona to blow off steam and following proper CDC and college guidelines, they’ll pick the former 9 times out of 10.",0
1290675542216380000,We are staying on top Covid-19 by holding weekly safety meetings. We WILL be opening this Fall and can't wait to see you on the mountain! #winteriscoming #mthigh #covid19,0
