,id,tweet,label,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1290677617302089728,"Voting... touch the same machine as everybody else, or touch a shared pen, or a shared punch card poker chained to the voting booth... it is hard, dangerous, and potentially deadly when done in person these days. Pay attention. 1 in 26 dies when contracted with COVID-19",0,TeslaFanaticsKS,"I own a 2014 Model S85 Tesla. 1st car with autopilot. I love it.  As of 8/4/2020 it had 184,000 miles, & original brakes, & drives like new. Get one. Join us.",https://t.co/Ty9zP3Irg4,202,28,2019-01-29 09:18:44,1090177413051486208,"Topeka, KS",False,1352,2928
1,1290673828440559616,Doctors warn people without fevers may still have COVID-19 ,0,FOX16News,Your Breaking News Leader!,https://t.co/RYnmxMgozc,1149,89712,2008-07-12 02:58:10,15399894,Central Arkansas,True,4032,114280
2,1290658597886664706,"When asked about Corona death totals, Trump said, ""It is what it is."" It is remarkable that such a creature exists and is considered by some to be more than sub-human.",0,EddieGEastcoast,"Old joke writer/poet/artist/drummer/was refused MENSA membership for being over qualified.  Followed by Stuttering John, Elayne Boosler and Gregor Samsa.",,4659,4778,2010-04-26 12:11:38,137312247,NY NY,False,322,87524
3,1290639922970296320,Try calling and telling them you’re being affected by corona virus .. they might be able to move the payment date or something :),0,Jas_Siewert,,,740,727,2015-01-01 22:09:13,2955571065,480✈️602,False,10891,4944
4,1290655116224344064,"@narendramodi Sir please take serious note of this. FMG,s can be included in fight against corona,it will overcome shortage of trained manpower in hospitals. Plz don’t discriminate FMG’s on the basis of an barrier called FMGE #letfmgserve #FMGEPP30 @drharshvardhan @MoHFW_INDIA",1,sangbit1,#letfmgserve,,147,66,2020-06-24 20:23:21,1275887221090840577,,False,90,1110
5,1290659771092217858,“They are spreading corona in the air to kill us “ im still wondering why I ain’t dead yet,1,PBrxwn4,🇨🇩,,112,67,2019-10-20 19:44:38,1186005271119835143,"England, United Kingdom",False,521,324
6,1290671163627143169,"I don’t get why people with cotton/polyester masks tell you to put your face mask on you’re a walking corona virus ventilation system, do your research",0,PrinceObijiaku_,🕊 Saved by Grace 🔌 Fitness & Well-being,https://t.co/0q4039WPul,677,3108,2010-12-09 22:05:02,224796080,United Kingdom,False,16391,49252
7,1290673075017613313,the situation with corona in america is out of hands i know they'll take all the precautions but it's still risky and dangerous,1,zicarustae,"shine, dream, smile ✨💜",https://t.co/739Net8rUH,491,7048,2013-06-26 14:28:41,1548331634,,False,27067,139339
8,1290675234371239936,"Dr. Mark Escott says after positive COVID-19 case numbers in Travis County were on the decline then plateauing, they’ve started to increase again in the past few days. He’s stressing the importance of not relaxing with masks or social distancing.",0,JacqulynPowell,Anchor and police beat reporter at KXAN. Story ideas? Cute cat pics? Email me! jacqulyn.powell@kxan.com,,652,1909,2013-04-19 20:13:45,1365305480,"Austin, TX",False,898,2616
9,1290653334240669700,Corona corona go away dont come back another day ,1,AshleyDeziree,SEND IG FLITER flxxx!!!!🤪,,798,520,2019-09-08 09:15:49,1170626728336642048,,False,7331,1867
10,1290665433205338112,"We are going to kill that corona, track it, hunt it down and take it out. Anyone know what that corona looks like?",1,melinda81823376,"An exceptionally hard head,3 plus years of agony,we tried going high and got Karen’s and Kens I have to watch my mouth have a grandkid following .#BLM #Resist🌊",,1042,845,2020-06-07 01:47:07,1269445671062392833,"Albuquerque, NM",False,8487,1412
11,1290649507416465409,producing drug by obtaining patent from US company is no big deal... may b u have also counted corona kit made by wrong no. patanjali... your jahil awam don't even afford underwear though ,1,SaadShaikh04,,,42,24,2012-01-22 14:00:56,471097262,"Karachi, Pakistan",False,863,549
12,1290675287781453824,"Ventilator(respirator is same thing) acquired pneumonia’s, pneumothorax (kind of like an air leak in the lung) from the pressure requires to ventilate people, especially with COVID because Covid lungs are stiff and require high pressures to oxygenate all the lung tissues....",1,shawn_carrell,,,9,15,2019-01-14 02:54:00,1084644773544235008,,False,139,19
13,1290675795157909504,"The Corona Canon can become a safety charm that the workspaces can be equipped with, since it would keep them safe from the deadly virus thus, making them completely operational and fit for use.",0,EncourageAAP,Supporter of AAP. I support them for bringing change in poor and voiceless people lives through their governance with nil corruption.,,1292,2567,2014-02-23 05:08:59,2357477113,,False,44870,410025
14,1290644639213551623,#Door to door awareness for 100% source segregation #say no plastic #ill effect of plastic #use clothe/jute bags #save water #no to buring #no to litring in the area #motivate people Be sure to keep a distance of 2 meters from each other to prevent corona virus.#MC Bathinda,1,mc_sbm,,,16,243,2016-08-03 10:00:52,760777445045858304,,False,18,1635
15,1290654645631815682,China spreaded corona.. Is it a new way of spreading any new virus Get lost china ,1,Jasjasveer1,stand with what is right..,,98,191,2020-03-14 18:26:41,1238894272687947776,,False,17075,25059
16,1290675664136404993,"i wear a cloth mask every day for my 10 hour shifts in the sun in texas and my lungs fucking suck and i have never had any issue with breathing through the cloth. if your lungs are so weak that cloth hinders your breathing, covid will kill you in a heartbeat.",1,tacobellsslut,pain,,24,2,2020-04-14 01:54:34,1249878633747025920,,False,153,47
17,1290639052178436096,"Current research indicates the risk of Corona virus transmission while outdoors is unlikely. Especially when combined with social distancing within close quarter environments for durations measured in minutes, not seconds.",1,hackingzero,Ninja Warrior by night Security Ninja by day.  Enjoy Life. Make a difference in the world. #healthspan #lifespan,https://t.co/rVCXWx8Fmo,288,295,2009-03-31 15:38:12,27894607,,False,1617,1638
18,1290676252106526721,"We have to stop faking covid first, Sir. It's a bad look to send them back with a plague. I'm sure you understand.",0,Alesiaramsey5,Good Morning! I Love YOU.  Wakey Wakey! Eggs and Bakey.🍳🥓,,512,85,2019-07-22 12:06:33,1153275132103802880,TEXAS,False,6050,3942
19,1290675359227289606,"Agreed! As an educator there is no realistic way to have students sit facing forward, not moving to ‘increase’ their safety from COVID. Masks are great- let’s talk class size!! ",0,teggie33,Working to change the world one word at a time.,,332,68,2012-04-14 02:49:11,553191070,,False,3426,564
20,1290640423904395264,We could be having corona free e sex but you play too much.,1,MissMMathers,\\\Hej allihopa///snap:slickvick1121♥️ insta veeeboxx///I ♥video games! @BoxxVee for my game/garden art media!,,334,13605,2009-03-13 02:08:48,24104197,cash app donos $veeboxx ♥️,False,189518,86088
21,1290675154607935488,"I do not wear a mask outside! I wear a mask inside stores and other business. I do not walk near other people. I have a compromised immune system. I seriously doubt I will get covid. If people just stay away from other people, but here we have two morons attacking someone. ",1,VeryCoolThings4,From Agadir Morocco/ I support President Trump but I do not support his views on Israel and the Palestinians. Encourage him to do justice for the Palestinians 😀,,70,34,2014-06-06 21:42:56,2551039340,,False,10951,12402
22,1290639228812972037,"some folks under estimate how contagious the novella corona virus named COVID-19 is.,.children aren't expelling it as powerfully as adults do, and they carry a higher viral load.,.i understand a single parent's dilemma with work requirements.,.no way i send any child of mine",1,daveyboy604,"#EastVanHailin  #FrontRail4Life.,.Dissident is classier than schitt disturber,.,,serial Plagiarizer,.,.#SpellingAproxiamate",,2302,328,2014-07-09 18:25:39,2613980922,#EastVanHailin,False,6828,6358
23,1290666660433735682,"Do you believe you said this? According to them, piyasa time is important than Corona !! ",1,Esra_Kvlcm,IMAGINATION i§ more important than KNOWL£DG£ ♦ ♣,,351,336,2009-09-13 19:34:11,73955879,İstanbul,False,4439,9119
24,1290675072374648832," Coronavirus: Second COVID-19 wave twice as big as the first without effective test, trace, isolating strategy, says new modelling study ",1,pauraecarita,I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I've watched C-beams glitter in the dark near the Tannhauser Gate,https://t.co/1DLuwoOIVy,2008,233,2011-12-20 19:23:31,442112309,,False,4201,26761
25,1290676406192570368,"Hey all I got a COVID test for free through @Riteaid today. It was painless, quick, no contact, and professional. Please keep wearing your masks and get tested if you’ve been exposed.",0,LarisaScarlett,If music be the food of love sing on,,494,95,2013-03-19 04:27:42,1279499832,,False,4259,3898
26,1290661013638057985,"In bihar ,without even testing ...they gave result as corona positive... it is same like passing an exam without appearing. #बिहार_बीमार_नीतीश_फरार",0,sujeetroy97,political activist || district coordinator @aapbihar || civil engineer || humanity is my religion ||,https://t.co/YaJWJgHahs,1516,2031,2015-04-01 03:16:54,3122706056,"jehanabad,Bihar",False,9404,6511
27,1290637111352266752,That's actually True. Corona needs to go away. ,0,SoSmiled,Don't Bother Arguing With Me,,331,42,2020-06-29 00:28:12,1277398282608816128,,False,908,352
28,1290674475411869699,"And by idiotic Anti-maskers and anti social distancers killing themselves, we can stop the spread and keep many deaths of covid away.",1,Insanity6662,just a sad sack of shit who disappoints everyone and draws,,211,72,2018-08-30 22:14:21,1035289649340706816,,False,388,4231
29,1290659381286248448,WAIT!! Trump says that there is a Corona Virus manual?! I think this would be a valuable tool for fighting the virus.,0,JoePoutous,"You have to let that raga drop.
  
film cameras, single speed bicycles, getting lost in the wilderness, vinyl records",https://t.co/tGAWQ9oxDd,891,229,2019-09-11 23:57:18,1171935633738059776,"San Diego, California",False,6783,3931
30,1290636347607150593,great make people get corona WaY tO gO! You’re so SmArT ,1,OnEdIrE34945164,I like OnE dIrEcTiOn a lot ok bye :),,5,0,2020-08-04 13:00:16,1290633577005084672,,False,6,3
31,1290664484420362243,the rain in this game kills you and I still don't get anything extra to go through it,1,krazyfrog,don't ask questions,,71,18820,2008-08-07 05:41:58,15760192,Mumbai,False,15630,156524
32,1290673790930706432,Sometimes Covid doesn't show any symptoms and sometimes it take more than 14 days... Consortium only check temperature that's now the way.. There is no compensation for life #postponeclat2020 #postponeclat2020 #postponeclat2020 #postponeclat2020 #postponeclat2020,0,Vaibhav93246180,,,2,1,2020-08-04 13:40:39,1290643775598088195,,False,10,78
33,1290657569585995781,"First deal with corona, then maybe I'll think about",0,Stylinsonsbabyy,𝓮𝓿𝓮𝓻𝔂𝓽𝓱𝓲𝓷𝓰 𝓲 𝓷𝓮𝓮𝓭 𝓲 𝓰𝓮𝓽 𝓯𝓻𝓸𝓶 𝔂𝓸𝓾 tommo's tummy supremacy. she/her,,131,195,2020-06-17 23:53:40,1273403427633213443,,False,15214,4453
34,1290666220929388560,Hope the corona will go away as it came ,1,vermach,,,530,194,2010-03-19 19:19:10,124546469,,False,12658,84337
35,1290672943769493510,"i hope they preform online and not actually in a venue. the cases in the us are way too high and they just keep increasing, i don’t want them to be in risk of getting corona. :(",0,fltrjnk,#김태형: so sweet then i get a little angry| gf 👩‍❤️‍💋‍👩@dubuchimn,,4587,4849,2020-03-19 20:54:26,1240743418671837187,bangpink ,False,37963,25969
36,1290662955357483009,Is this the new game? Are they going to compound the deaths for Corona virus from the very beginning and never stop. Usually flu season ends in No ember and they start at zero.,1,jim07675054,,,303,31,2020-06-07 00:07:17,1269420544958631937,,False,1561,5394
37,1290642608037826560,They put it on hold corona is more fearful therefore easily to control people,1,sgsikh,,,371,23,2017-10-24 06:48:01,922716288010637313,Majha,False,266,787
38,1290640586504978432,"T 64 Friends Corona is increasing day by day. Remember the only one thing SMS(sanitizer,mask,social distancing) which can protect you and your family and society. ଏବେ ଏହାର ଟୀକା ନାହିଁ । ଏତିକି କହି ‌ମୁଁ ମୋ ବକ୍ତବ୍ୟ ଶେଷ କରୁଛି ।",1,GYAN_2020,"Railway Engineer/SWR/Civil engg,also interested in odia speaking people/News/making good & helpful friends/following great leaders,journalism.",,565,786,2020-05-05 07:42:45,1257576313709137920,Hubli/ବ୍ରହ୍ମପୁର(ଓଡିଶା),False,7729,6042
39,1290645070996279298,do I have corona or do I have to put my air conditioning directly in my face to be cold bc of the way my room is set up,1,elfteeeth,libra sun/moon scorpio ascendant Ⓥ,,160,287,2011-12-06 03:36:02,429560863,ThEY // tHEM,False,13208,26366
40,1290651437307961352,What if we use another virus to fight corona virus or bacteria against corona virus?,1,JenderalKenobi,Boleh kakak liat-liat dulu aja,,279,64,2018-04-18 04:59:12,986469170014375940,Littleroot Town,False,397,4018
41,1290670825117560833,@JohnCooper4Nash what is going on? Do you think corona virus is just going to disappear? go full tilt or close down the bars. Anything in the middle just creates more problems.,1,SpncrRyan,Nashville based artist. Debut album in the works.. slowly but surely.,https://t.co/7s5KP0pYHw,206,21,2016-09-04 20:31:59,772532685088620544,"Nashville, TN",False,208,44
42,1290656676706766849,"Until you realise that corona is a ploy to get aid, loans and debt transfered for a year, you will always sing corona corona corona. Bushe why are we not dying like Americans, Europeans &amp; Asians when we have only panado in hospitals? We do not even wear masks. Corona ninshimi.",1,Kunjy,The fact that some achieve success is proof enough that others can achieve it as well,https://t.co/YRVlhkdY5n,433,267,2009-02-18 13:02:18,21193202,"Kasama-shi, Ibaraki",False,726,7481
43,1290673259630010373,"if i was to get corona, i wouldn’t. corona would get me because i’m like that, i’m a different breed ",0,HarryLawrencee,shortest tall man you’ll ever meet i am not tall,,256,117,2016-10-18 16:01:07,788409583530283008,oxford,False,19507,1051
44,1290649488172949504,Masks reduce the risk of spreading corona AND let me hide my face when i look like crap AND let me pretend i don't recognise people i know in public because of their masks???? I see nothing but wins icl,1,zr_zacc,bold w/ a hint of controversial.,https://t.co/rnV6gExKDQ,1010,1394,2020-03-27 21:08:41,1243646074956460035,United Kingdom,False,20545,1817
45,1290676282137747456,Now ppl that may need an ICU bed for reason unrelated to covid are in danger of not receiving the care they need.,0,MikeSchecher,"“If you gave a man half his wishes, he would double his troubles” - B. Franklin",https://t.co/zCp28JyJJW,68,3,2013-08-05 01:42:07,1646557338,Northstar state,False,2,577
46,1290659737814654976,"very true, corona needs to do one soon",0,LewisKelly22,🏳️‍🌈 | 17 | Taylor Swift put my name in a song once which is cool I guess | TN x 1,,2133,1299,2015-08-30 07:15:56,3488702494,"Scotland, United Kingdom",False,22177,15169
47,1290648788026228742,I believe there are many different types of Corona Virus. Don't quote me on it but I guess Covid-19 is just one strain.,0,Danny_M83,I get paid to press buttons just like my idol Homer! I drink anything but Duff! Pro golfer playing off 28! I don't follow back so fuck off! #RightOfCentre,,484,154,2010-09-18 10:30:01,192158683,Great Britain!  B-I-F!,False,53,4052
48,1290675772345200641,"You aren’t right though. The people the kids are around will be the same. If a parent has COVId and gives it to their kids, it isn’t any different than if the parent was at the school or not. COVID doesn’t just appear out of nowhere",0,Smartarse21,Exiled Clevelanddotcom commenter.,,51,22,2020-05-05 13:39:27,1257666171404517376,,False,1088,4020
49,1290648934004785153,I wish they would not even play. The Corona is to bad for them to play. And they should have to where a mask to,0,ThorpeThorpe7,Cristian music,,8,0,2016-10-28 17:02:00,792048785694134272,"Alabama, USA",False,158,53
50,1290657686594490368,"Should have forced out a few coughs and said “ahhh fucking corona, never been the same since” then they may move away ",1,i_am_EmilyGrace,,,351,127,2018-04-11 09:38:28,984002732678893571,,False,3454,2172
51,1290647912658198528,"Hi! We regret the inconvenience caused. These safety updates on general hygiene and preventive measures to avoid exposure to corona virus are released as per Govt.of India directive. We are unable to stop the same. Please bear with us. Regards, Laxmikant",0,idea_cares,"Official customer care account of Idea. Tweet, if you have any feedback regarding our services or network. For offers & promotions see @idea",http://t.co/vkMW8zWtoF,1,70210,2014-08-14 12:48:48,2731602432,"Mumbai, Maharashtra",True,6,419831
52,1290675749796667393,Let’s do our bit and help stop the spread of COVID-19. ,0,HeysideCC,"ECB Clubmark Accredited. Tanner Cup winners 2017, 4 senior teams inc Ladies & U9's - U18's inc girls U13's Function room for hire 01706 847676",https://t.co/TMtYe1XMke,1641,2106,2011-08-01 20:32:11,346775091,Little Hey Street,False,27244,8421
53,1290662105855688706,idk if u can say that when it comes to corona but like stay safe ,0,aintgottatell,"all i wanted was you, baby",,84,92,2020-04-22 15:00:26,1252975525267673089,she/her,False,495,586
54,1290676978111086592,"They are taking bit by bit, first we was only locking down to flatten the curve , now cases are locking places down, the tests can't even tell between novel coronavirus and covid-19 ",0,Fartsniffer155,Ok buddy,,347,53,2014-08-17 10:58:41,2739482534,CHAZ,False,4860,2420
55,1290666528069705728,We can do anything but we can't do anything because of corona and how to use youghts power for a better nation,1,Sanmati4,,,17,0,2012-07-28 02:10:12,721293888,,False,8,6
56,1290665388175310848,Rationally as professionals in March first week @WHO should have given out this guidance. Then clearly corona infected get segregated and rest could continue normal life. Economy does not suffer. No lock downs needed. But you confused and mixed healthy with infected. 2/2 ,0,rbojji,"BE (AU,66),https://t.co/NGspP1NfxA(KGP,68), IRSE(1970-05),FIE,FNAE,AMASCE Former MD Konkan Railway, Former Director ITER Board Fusion Reactor, a Research Scholar",https://t.co/akZvYcEzCn,125,897,2009-04-03 20:24:47,28644787,"Herndon, VA USA & Hyderabad In",False,2254,34744
57,1290675525925711873,She tells me she wears her mask as soon as she’s bathed in the morning. (By wearing a mask she hangs it on her chin all the time). My cousins call it her ‘chin guard’. She says she’s careful about Covid and has spent the last 3 months teaching people how to wash their hands.,0,nombonisogasa,"Adjunct Professor: Public Law, UCT. Snr Associate Researcher: Centre for Law & Soc. CLS. Land, Gender, Politics & Culture. Book for Public Talks.Yogi. Gardener.",https://t.co/sozk68MXWc,1633,96488,2012-09-04 01:44:42,801600812,"Johannesburg, South Africa",False,46261,109115
58,1290677107245248513,"Heading Back-to-School with new COVID-19 protocol can create extra stress for families managing food allergies. Help your child prepare by getting familiar with new protocols. Check out @faactnews ""Let's Rehearse Lunchtime at School"" at home activity. https://bit.ly/3k9GOhF",1,SOAAR4Research,"Led by @ruchisgupta, The Center for Food Allergy & Asthma Research (CFAAR) is committed to world-class #allergy and #asthma research.",https://t.co/mf95nv9bfq,760,516,2018-02-08 17:09:16,961648133720674304,"Chicago, IL",False,749,466
59,1290646200635588608,"i can’t believe this is real. he’s resorted to getting on powerpoint, making fake charts to make him look good, and waving them around as if they’re the only true, real data. he can’t even speak on corona without the aid of graphs and pictures ",0,sorceren,she/her | BLM 🖤 | ACAB | surviving against all odds,,230,192,2015-04-07 00:05:50,3142691720,,False,2898,2453
60,1290675471840157698,These kids about to start using covid like a bomb threat in schools now,1,iExquisite_6,"Pats better, Celtics better, Auburn better, deal with it.",,185,31,2019-11-30 18:17:30,1200841240461398018,,False,1000,7669
